,user_ids,support,itemsets,period,property_values,depth,size,SEX,itemset_name
66,"[106174, 111896, 118817, 120148, 120786, 121443, 129105, 132519, 133789, 142967, 149020, 151260, 151575, 154289, 155211, 157310, 160010, 162167, 165061, 165109, 168983, 174135, 183912, 188564, 199576, 204821, 206416, 216347, 219965, 223493, 236115, 254395, 257832, 258165, 264205, 270189, 270415, 274400, 280966, 281822, 285199, 289246, 296427, 296815, 297113, 303309, 307536, 308393, 309153, 310155, 313776, 321135, 329675, 330279, 332850, 338678, 343189, 347476, 350390, 351920, 356217, 361384, 376854, 379534, 392734, 398918, 404833, 423842, 424321, 426511, 430018, 436687, 437016, 447455, 449890, 452286, 453834, 458614, 460889, 464167, 464208, 465004, 466214, 467993, 468288, 475601, 476652, 480524, 484042, 486075, 489485, 493340, 494940, 497232, 510627, 510658, 510973, 529805, 531067, 532504, 536487, 537708, 538673, 539508, 557636, 570365, 576380, 583207, 589029, 592446, 593390, 594866, 595841, 606283, 610168, 611059, 616425, 617647, 622798, 623418, 626073, 742918, 768034, 796862, 805164, 822265, 871178, 876389, 886050, 897914, 899949, 907710, 908601, 919511, 932372, 932438, 939496, 957568, 977943]",139, 5631 4112,2017-11-01,M,0.875,139,M,"['TWIX 50G', 'LAVAGE CLU']"
67,"[141778, 142694, 158293, 162284, 164198, 173319, 185798, 194842, 197678, 227723, 238881, 242022, 250342, 252909, 270754, 280433, 285144, 289065, 293992, 297420, 298368, 310184, 313674, 315504, 318075, 318269, 320242, 327681, 328019, 335097, 339606, 341628, 348387, 353824, 356393, 358032, 364367, 367948, 369391, 377790, 378008, 390982, 397622, 411787, 415088, 426430, 443006, 444175, 449358, 454838, 459070, 464243, 476814, 479797, 486268, 487043, 492152, 492770, 493876, 498529, 506592, 507976, 510062, 518075, 518800, 531634, 532233, 539813, 540268, 543563, 548967, 549049, 555704, 560724, 563889, 563904, 564110, 567649, 591171, 594027, 596160, 601900, 614173, 616924, 621358, 621378, 622174, 622269, 742338, 761471, 795192, 795756, 797757, 836821, 887504, 913577, 915453, 930608, 936731, 938188, 942245, 942717, 950817, 953213, 964485, 969035, 975187]",107, 5623 4112,2017-11-01,M,0.875,107,M,"['SNICKERS 50G', 'LAVAGE CLU']"
68,"[101205, 109954, 111209, 112979, 113797, 114258, 120768, 123517, 127319, 141636, 141887, 153963, 155725, 183500, 190844, 193333, 231331, 237038, 242452, 242802, 247735, 249553, 250153, 250163, 269492, 275596, 286890, 288466, 291343, 293965, 307659, 311524, 317644, 324605, 330312, 339905, 340253, 341648, 343805, 358331, 369302, 372468, 376043, 383912, 394813, 395636, 400749, 404236, 408382, 416080, 418229, 423494, 433622, 443377, 444161, 447368, 450043, 458098, 460099, 470752, 476566, 478470, 482531, 488139, 497722, 497798, 499303, 501913, 514931, 528757, 536398, 541417, 544090, 548336, 560935, 561615, 564686, 570723, 572511, 575459, 577925, 579398, 580132, 582178, 607089, 622767, 625943, 759286, 765800, 794611, 876531, 916885, 917858, 973987]",94, 1707 4112,2017-11-01,M,0.875,94,M,"['BOUNTY CHOC LAIT 57G', 'LAVAGE CLU']"
69,"[129105, 131494, 154248, 197718, 209659, 227723, 251654, 264642, 270415, 293965, 296815, 297431, 298368, 313472, 323804, 341628, 359007, 419594, 429530, 433003, 444161, 454838, 475601, 504102, 510627, 515329, 519383, 522169, 531067, 538928, 543563, 545590, 549049, 607089, 617647, 625943, 732484, 883223, 897112]",39, 4126 4112,2017-11-01,M,0.875,39,M,"['RECHARGE LAVAGE', 'LAVAGE CLU']"
70,"[125579, 130769, 139113, 144834, 195791, 198697, 199285, 220306, 234220, 257154, 264642, 294323, 307437, 307966, 323804, 325354, 332432, 344106, 359310, 366033, 375544, 419594, 425686, 510875, 511557, 515329, 530433, 538928, 546403, 548667, 549209, 606450, 732484]",33, 4126 5625,2017-11-01,M,0.875,33,M,"['RECHARGE LAVAGE', 'MARS  51G']"
71,"[129105, 177933, 193056, 198355, 199937, 202371, 206111, 213511, 270415, 296815, 324659, 438454, 475601, 510627, 513144, 531067, 543323, 568070, 617647, 803252, 836943, 970021]",22, 4126 5631,2017-11-01,M,0.875,22,M,"['RECHARGE LAVAGE', 'TWIX 50G']"
72,"[166603, 193677, 227723, 298368, 341628, 393938, 396674, 419944, 422261, 447321, 448585, 454083, 454838, 505984, 513907, 517640, 543053, 543563, 549049, 602293, 954512]",21, 4126 5623,2017-11-01,M,0.875,21,M,"['RECHARGE LAVAGE', 'SNICKERS 50G']"
73,"[131554, 134631, 179113, 249024, 251719, 274316, 293965, 295086, 298450, 327351, 406437, 419307, 444161, 446208, 485421, 487885, 520846, 539741, 578038, 607089, 625943, 730004, 759495, 797618, 884245, 964983]",26, 4126 1707,2017-11-01,M,0.875,26,M,"['RECHARGE LAVAGE', 'BOUNTY CHOC LAIT 57G']"
74,"[141815, 231331, 251654, 297113, 307536, 330312, 378008, 446817, 458921, 476652, 480524, 502923, 564686, 732484, 742338, 836821, 897112, 980578, 984551]",19, 4125 4112,2017-11-01,M,0.875,19,M,"['RECHARGE LAVAGE TW - A', 'LAVAGE CLU']"
75,"[101392, 125615, 130464, 141815, 146201, 163878, 176750, 261850, 291317, 309947, 380569, 421208, 457865, 459228, 480373, 502923, 511792, 554567, 563868, 574409, 598391, 609478, 626176, 732484, 893132, 902470, 964257, 966062]",28, 4125 5625,2017-11-01,M,0.875,28,M,"['RECHARGE LAVAGE TW - A', 'MARS  51G']"
