,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
127,"[493984, 511109, 574634, 577984, 758594]",5, 3404,2017-03-01,35-49,0.0,5,35-49,['20 MADELEINES L. CHOCO 250G']
128,"[574634, 577984, 758594]",3, 3404 263,2017-03-01,35-49,0.0,3,35-49,"['20 MADELEINES L. CHOCO 250G', 'REMISE BUS AUTOROUTE 9\x80']"
129,"[105649, 132966, 140052, 414193, 425539, 539813]",6, 4101,2017-03-01,35-49,0.0,6,35-49,['LAVAGE 4 PLEIN']
130,"[179210, 274761, 318476, 350390, 557472, 565480, 615241]",7, 4128,2017-03-01,35-49,0.0,7,35-49,['REC LAVAGE PJE 35U']
131,"[177783, 289106, 376854, 417022, 500021, 602861, 668634]",7, 4129,2017-03-01,35-49,0.0,7,35-49,['REC LAVAGE PJE']
132,"[119057, 240947, 257398, 477918, 481153, 517115]",6, 6722,2017-03-01,35-49,0.0,6,35-49,['SAN PELLEGRINO 1L']
133,"[283016, 303715, 382537, 517346, 565366, 616565]",6, 2797,2017-03-01,35-49,0.0,6,35-49,['COCA COLA 50CL PET']
134,"[214517, 464167, 523273, 531392, 610037, 772088]",6, 6723,2017-03-01,35-49,0.0,6,35-49,['SAN PELLEGRINO  50CL']
135,"[113566, 244827, 290089, 322520, 510060, 609522]",6, 611,2017-03-01,35-49,0.0,6,35-49,['CR SDW PARISIEN BY NORBERT']
136,"[322520, 565366, 624033]",3, 721,2017-03-01,35-49,0.0,3,35-49,['BD. PAIN CHOCOLAT PAC']
137,"[240947, 441047, 476957, 751356, 866455]",5, 2631,2017-03-01,35-49,0.0,5,35-49,['ORANGINA PET 50']
138,"[129865, 137806, 404833, 509370, 532781]",5, 2643,2017-03-01,35-49,0.0,5,35-49,['OASIS TROPICAL']
139,"[146201, 294552, 336381, 499303, 543323]",5, 2956,2017-03-01,35-49,0.0,5,35-49,['TOTAL ADBLUE BEC V. 5L']
140,"[102939, 214517, 476957, 616225]",4, 3880,2017-03-01,35-49,0.0,4,35-49,['SDW JAMB CHEDDAR SUED XXL 230G']
141,"[160433, 682317, 758594, 772088]",4, 5844,2017-03-01,35-49,0.0,4,35-49,['GAUFFRE LIEGE CHOCO X5 225G LOTUS']
142,"[102647, 622013, 751356, 758594]",4, 6343,2017-03-01,35-49,0.0,4,35-49,['LU GRANOLA BARRES EXTRA SABLEE 6PC 168G']
143,"[622013, 751356, 758594]",3, 6343 263,2017-03-01,35-49,0.0,3,35-49,"['LU GRANOLA BARRES EXTRA SABLEE 6PC 168G', 'REMISE BUS AUTOROUTE 9\x80']"
144,"[102647, 751356, 758594]",3, 6343 1547,2017-03-01,35-49,0.0,3,35-49,"['LU GRANOLA BARRES EXTRA SABLEE 6PC 168G', 'SAC BOUTIQUE KRAFT']"
145,"[149358, 182028, 240947, 256229, 572129, 610037]",6, 6855,2017-03-01,35-49,0.0,6,35-49,"[""CHIPS LAY'S SAL""]"
146,"[160433, 288846, 424318, 452829]",4, 608,2017-03-01,35-49,0.0,4,35-49,['CR SAND PREMIUM']
147,"[531392, 610037, 772088]",3, 6723 263,2017-03-01,35-49,0.0,3,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SAN PELLEGRINO  50CL']"
148,"[316182, 423513, 510060, 600388]",4, 610,2017-03-01,35-49,0.0,4,35-49,['CRO HOT DOG BACON CHEESE']
149,"[134880, 225819, 282802, 460608]",4, 4099 4125,2017-03-01,35-49,0.0,4,35-49,"['LAVAGE 1 PLEIN', 'RECHARGE LAVAGE TW - A']"
150,"[450235, 509370, 525672, 593085]",4, 3881,2017-03-01,35-49,0.0,4,35-49,['SDW DAUNAT MINI']
151,"[183182, 332850, 762412]",3, 4137,2017-03-01,35-49,0.0,3,35-49,['REC LAVAGE PJE 97 U']
152,"[110133, 112041, 117912, 124474, 125045, 134880, 137892, 145219, 145974, 146201, 149249, 153604, 156003, 157047, 169695, 170455, 184841, 188482, 195200, 208332, 212363, 225819, 227151, 242201, 245407, 257663, 264105, 282802, 299262, 307895, 315762, 330312, 344551, 365174, 368624, 375104, 377365, 382271, 383944, 387373, 388275, 392200, 392552, 398255, 403386, 406484, 411179, 414000, 419573, 425424, 428048, 429719, 435091, 435438, 436333, 457865, 460069, 460608, 468967, 469697, 470106, 477648, 480899, 482969, 484493, 487513, 490190, 491767, 496685, 504682, 506588, 518488, 518808, 520008, 529795, 529911, 545406, 548715, 548900, 550293, 555618, 560291, 569912, 579243, 584986, 588675, 590237, 594063, 598984, 613840, 615217, 617729, 626070, 667778, 693202, 693851, 733800, 748989, 756856, 758624, 765409, 769912, 781591, 790704]",104, 4125,2017-03-01,35-49,0.0,104,35-49,['RECHARGE LAVAGE TW - A']
153,"[112041, 156003, 377365, 490190, 550293, 756856]",6, 4125 4126,2017-03-01,35-49,0.0,6,35-49,"['RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A']"
154,"[116442, 123801, 137504, 145875, 210355, 244827, 248473, 260419, 261384, 266488, 287867, 292347, 293947, 319317, 324104, 336730, 351686, 379133, 389285, 396609, 420842, 421137, 423574, 427096, 427250, 445247, 460228, 461998, 483533, 489886, 500716, 503953, 523545, 539333, 543214, 543714, 566083, 566222, 567220, 592390, 602466, 605006, 607784, 614904, 616225, 616689, 620236, 621627, 715296, 738639, 746930, 751640]",52, 163,2017-03-01,35-49,0.0,52,35-49,[]
155,"[517346, 518911, 521183, 531392, 565366, 570925, 574634, 577984, 610037, 616225, 616565, 622013, 622027, 719763, 751356, 754685, 758594, 772088]",18, 263,2017-03-01,35-49,0.0,18,35-49,['REMISE BUS AUTOROUTE 9\x80']
156,"[160378, 195105, 199022, 223318, 247304, 260993, 264832, 293992, 335124, 339606, 349288, 353337, 353881, 358331, 412316, 459950, 491256, 529795, 544260, 567220, 582270, 588675, 643227, 714981, 756445]",25, 2946,2017-03-01,35-49,0.0,25,35-49,['TW  LAVE GLACE']
157,"[113700, 129865, 157047, 238365, 369654, 427382, 441344, 449654, 495580, 525672, 565366, 574634, 594535, 610249, 622013, 718468, 751356, 754685, 758967]",19, 3510,2017-03-01,35-49,0.0,19,35-49,['CRISTALINE 1.5L']
158,"[565366, 574634, 622013, 751356, 754685]",5, 3510 263,2017-03-01,35-49,0.0,5,35-49,"['CRISTALINE 1.5L', 'REMISE BUS AUTOROUTE 9\x80']"
159,"[102647, 173968, 201253, 274391, 283016, 295946, 313925, 316273, 404833, 420415, 442439, 517115, 525672, 532781, 565366, 574634, 600449, 751356, 758594]",19, 1547,2017-03-01,35-49,0.0,19,35-49,['SAC BOUTIQUE KRAFT']
160,"[565366, 574634, 751356, 758594]",4, 1547 263,2017-03-01,35-49,0.0,4,35-49,"['REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
161,"[525672, 565366, 574634, 751356]",4, 1547 3510,2017-03-01,35-49,0.0,4,35-49,"['CRISTALINE 1.5L', 'SAC BOUTIQUE KRAFT']"
