,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
247,"[574634, 619437, 622013, 758594]",4, 3622 263,2017-04-01,35-49,0.05555555555555555,4,35-49,"['CREP CHOCO WHAO', 'REMISE BUS AUTOROUTE 9\x80']"
248,"[155211, 173319, 306731, 542971, 557637, 568132]",6, 4112 4918,2017-06-01,50-65,0.1111111111111111,6,50-65,"['LAVAGE CLU', 'SERVIT.BILL PAP ETE 2017']"
253,"[159082, 249024, 271964, 606450]",4, 2968 4126,2017-06-01,50-65,0.1111111111111111,4,50-65,"['RECHARGE LAVAGE', 'TW 10 LINGUETTE']"
254,"[123618, 249024, 436582, 459070, 480373, 606450]",6, 2968 4125,2017-06-01,50-65,0.1111111111111111,6,50-65,"['RECHARGE LAVAGE TW - A', 'TW 10 LINGUETTE']"
257,"[167298, 249024, 270220, 360222, 436582, 592024, 874591]",7, 2968 4916,2017-06-01,50-65,0.1111111111111111,7,50-65,"['SERVIT.MARSU PA', 'TW 10 LINGUETTE']"
261,"[171799, 200047, 220933, 258366, 450717, 529805, 568132, 588699, 606283, 623497, 881847]",11, 4112 4917,2017-06-01,50-65,0.1111111111111111,11,50-65,"['LAVAGE CLU', 'SERVIT.GASTON P']"
264,"[104518, 528757, 848540]",3, 4074 4918,2017-06-01,50-65,0.1111111111111111,3,50-65,"['BIDON AD BLUE 10L', 'SERVIT.BILL PAP ETE 2017']"
267,"[165402, 414069, 415543, 950715]",4, 2944 4125,2017-06-01,50-65,0.1111111111111111,4,50-65,"['RECHARGE LAVAGE TW - A', 'TW  LAVE GLACE DEMOUSTIQUEUR 4L']"
268,"[109551, 131348, 159082, 165402, 193796, 280880, 305678, 470752, 494174, 500504, 541273, 606898, 825168]",13, 2944 4126,2017-06-01,50-65,0.1111111111111111,13,50-65,"['RECHARGE LAVAGE', 'TW  LAVE GLACE DEMOUSTIQUEUR 4L']"
269,"[224365, 270220, 271779, 296486, 347715, 464331, 579124, 681522, 864160]",9, 1531 163,2017-06-01,50-65,0.1111111111111111,9,50-65,[]
