,user_ids,support,itemsets,period,property_values,depth,size,AGE
130,"[106754 209706 211013 297581 356173 405629 415357 494144 554354 591144
 604835 610358 610839 726618 957776 995501]",16, 3461030 19419902,2018-01-01,50-65,0.0,16,50-65
131,[139024 174862 211124 211671 238728 353164 376096 467354 575459 786522],10, 3430051 3461025,2018-01-01,50-65,0.0,10,50-65
132,"[123476 156917 161197 186063 222253 264871 502231 518751 589866 613109
 698423 912209]",12, 5461028 7445935,2018-01-01,50-65,0.0,12,50-65
133,"[ 115022  150405  205725  213362  238728  248194  284718  302612  376096
  384449  396122  517238  542074  575459  581804 1027999]",16, 3430051 3461039,2018-01-01,50-65,0.0,16,50-65
134,"[ 122586  131007  156442  179654  199787  260536  266337  435796  564779
  727418  859944  903140  911830  958235  986957 1025341]",16, 11461020 11421002,2018-01-01,50-65,0.0,16,50-65
135,"[ 122586  131007  192386  200393  271933  406229  409911  430673  435796
  484892  489060  564779  568551  677071  828590  849610  859944  866211
  870272  941284  958235 1038825]",22, 11420066 11421002,2018-01-01,50-65,0.0,22,50-65
136,"[156442 179654 330770 568551 645629 669687 739244 875430 892930 941284
 986957]",11, 11420067 11421002,2018-01-01,50-65,0.0,11,50-65
137,"[ 238728  244081  263990  399092  399429  573329  645689  879896  966950
 1001104]",10, 7461022 583279,2018-01-01,50-65,0.0,10,50-65
138,"[ 192386  199517  266337  406229  409911  484892  645629  677071  739244
  828590 1038825]",11, 11461019 11421002,2018-01-01,50-65,0.0,11,50-65
139,"[ 199787  271933  330770  430673  465787  677071  892930  911830  986957
 1025341]",10, 11430039 11421002,2018-01-01,50-65,0.0,10,50-65
140,"[ 122693  191786  324469  328260  373962  473071  476191  562532  573329
  645689  841806 1006740]",12, 7420005 583279,2018-01-01,50-65,0.0,12,50-65
141,"[ 179654  186063  199517  406229  409911  465787  512790  564779  568551
  645629  889620  941284 1038825]",13, 11430043 11421002,2018-01-01,50-65,0.0,13,50-65
142,"[ 112638  189611  191786  426784  474655  813631  917112  948191  969911
 1018546]",10, 7461003 1073439 583279,2018-01-01,50-65,0.0,10,50-65
143,"[ 112638  189611  191786  426784  474655  568551  813631  917112  948191
  969911 1018546]",11, 7461003 583279,2018-01-01,50-65,0.0,11,50-65
144,"[ 328260  473071  522456  562532  645689  871376  917112  966950  994013
  999234 1006740 1018546]",12, 7430001 1073439 583279,2018-01-01,50-65,0.0,12,50-65
145,"[ 324469  328260  473071  522456  562532  645689  871376  917112  966950
  994013  999234 1006740 1018546]",13, 7430001 583279,2018-01-01,50-65,0.0,13,50-65
146,[121146 128834 199986 382409 427028 433887 469083 603340 871801 981958],10, 6461013 3119857,2018-01-01,50-65,0.0,10,50-65
147,"[161052 168413 218821 278724 309180 457813 549936 612675 825546 871801
 981958]",11, 2072140 3610017,2018-01-01,50-65,0.0,11,50-65
148,"[100143 189611 238728 239835 355286 426784 522456 527222 562532 684301
 879896 908366 908482 969911]",14, 1128582 1073439 583279,2018-01-01,50-65,0.0,14,50-65
149,"[100143 189611 238728 239835 285767 355286 426784 522456 527222 562532
 684301 879896 908366 908482 969911]",15, 1128582 1073439,2018-01-01,50-65,0.0,15,50-65
150,"[100143 189611 238728 239835 355286 399092 411205 426784 522456 527222
 562532 568551 684301 879896 908366 908482 969911]",17, 1128582 583279,2018-01-01,50-65,0.0,17,50-65
151,"[ 122693  173522  211249  238728  244081  275373  355286  385455  575459
  826642  908482  948191  994013 1006740]",14, 7461038 1073439 583279,2018-01-01,50-65,0.0,14,50-65
152,"[ 122693  173522  211249  238728  244081  275373  285767  355286  385455
  575459  826642  908482  948191  994013 1006740]",15, 7461038 1073439,2018-01-01,50-65,0.0,15,50-65
153,"[ 122693  173522  178784  211249  238728  244081  275373  355286  385455
  411205  548026  573329  575459  826642  908482  948191  994013 1006740]",18, 7461038 583279,2018-01-01,50-65,0.0,18,50-65
154,"[131001 285643 363070 470389 613049 615942 618719 842341 898838 902972
 913232]",11, 13600037 13600075,2018-01-01,50-65,0.0,11,50-65
155,"[ 131001  356173  389537  470389  538724  613049  615942  618719  842341
  898838  902972  913232 1056074]",13, 13600037 6026,2018-01-01,50-65,0.0,13,50-65
