,user_ids,support,itemsets,period,property_values,depth,size,STATION_MGT_TYPE,DEPARTEMENT
171,[ 505859  540247  719763  963615 1179385],5, 5450142 7445935,2018-10-01,COCO_78,0.5882352941176471,5,COCO,78
173,[ 505859  719763  862846  963615  972937 1097861 1179385],7, 5450142 6033,2018-10-01,COCO_78,0.5882352941176471,7,COCO,78
174,[ 107493  263913  567649  886899 1043581 1121384],6, 5401046 7892095,2018-10-01,COCO_78,0.5882352941176471,6,COCO,78
175,[1014685 1015043 1048011 1075356 1153425],5, 19419902 6026,2018-10-01,COCO_78,0.5882352941176471,5,COCO,78
176,[ 248633  263913  719763 1041531 1121384],5, 5401046 7445935,2018-10-01,COCO_78,0.5882352941176471,5,COCO,78
177,[ 107493  263913  719763  886899 1097861],5, 5401046 5401047,2018-10-01,COCO_78,0.5882352941176471,5,COCO,78
178,[ 294115  520708  715341  719763 1179385],5, 5401047 6033 7445935,2018-10-01,COCO_78,0.5882352941176471,5,COCO,78
179,[ 540247  719763  972937 1097861 1179385],5, 5450142 5401047,2018-10-01,COCO_78,0.5882352941176471,5,COCO,78
180,[ 294115  496094  520708  715341  719763  972937 1097861 1179385],8, 5401047 6033,2018-10-01,COCO_78,0.5882352941176471,8,COCO,78
181,[ 616225  734723  998545 1071032 1155422],5, 3450011 4190175,2018-10-01,COCO_59,0.5882352941176471,5,COCO,59
182,"[ 380150  471775  584447  995513 1007975 1015043 1047955 1048011 1113856
 1153425]",10, 13600075 6026,2018-10-01,COCO_78,0.5882352941176471,10,COCO,78
183,"[ 294115  468837  505859  519887  520708  545984  563837  715341  719763
  963615 1179385]",11, 6033 7445935,2018-10-01,COCO_78,0.5882352941176471,11,COCO,78
184,[ 294115  471775  519887  584447  719763  772088  963615 1075356],8, 6033 6026,2018-10-01,COCO_78,0.5882352941176471,8,COCO,78
185,[294115 363692 519887 719763 963615],5, 7445935 6026,2018-10-01,COCO_78,0.5882352941176471,5,COCO,78
186,[ 616225  734723  998545 1155422 1173969],5, 6033 4190175,2018-10-01,COCO_59,0.5882352941176471,5,COCO,59
187,[ 734723  901480  979705 1155422 1162193 1173969],6, 6033 6026,2018-10-01,COCO_59,0.5882352941176471,6,COCO,59
188,[ 734723  979705 1058591 1152434 1162193],5, 13600075 6026,2018-10-01,COCO_59,0.5882352941176471,5,COCO,59
189,[ 103977  112044  123777  179750  600388 1071032],6, 4190175 19419902,2018-10-01,COCO_59,0.5882352941176471,6,COCO,59
190,"[ 108938  114666  118478  127790  130532  133892  149963  161394  162567
  187833  199984  235297  244827  251568  270220  275782  292347  314647
  368080  370988  375021  403445  423574  425954  427096  427250  432305
  444802  445481  451363  464331  483533  521982  523545  602580  604098
  607784  612824  616689  739860  751640  786504  903640  957469  999796
 1042827 1061637 1095891 1103098 1106966 1163691 1167207 1168767 1171591
 1178295 1180756 1196697 1198352 1204127]",59, 451 12520268,2018-10-01,COCO_59,0.5882352941176471,59,COCO,59
191,[ 156634  460228  552846  731934  746930 1166148 1205586 1214239],8, 451 12520268,2018-10-01,COCO_62,0.5882352941176471,8,COCO,62
192,[ 263913  294115  363692  520708  540247  563483  715341  719763 1179385],9, 5401047 7445935,2018-10-01,COCO_78,0.5882352941176471,9,COCO,78
193,[ 205109  552846  603391 1166148 1205586],5, 12520268 451,2018-12-01,CODO_62,0.6470588235294118,5,CODO,62
196,"[ 107030  108938  110899  114666  118478  127790  133892  149963  187833
  235297  235462  244827  251568  270220  275782  292347  314647  368080
  403445  421137  427096  427250  438350  449529  464331  483533  523545
  567220  602580  607784  612824  616689  739860  751640  903640  915181
  943482  957469  999796 1061637 1095891 1163691 1167207 1168767 1171591
 1180756 1196697 1198352 1221607 1234306 1236675]",51, 451 12520268,2018-12-01,COCO_59,0.6470588235294118,51,COCO,59
197,[ 156634  460228  552846  603391  746930 1166148 1186493 1205586],8, 451 12520268,2018-12-01,COCO_62,0.6470588235294118,8,COCO,62
198,[ 123777  376762  622371  636458  998545 1071032],6, 4190175 19419902,2018-12-01,COCO_59,0.6470588235294118,6,COCO,59
199,"[ 528700  555714  584447  622027  989025 1007975 1014685 1034094 1036452
 1047955 1082751]",11, 13600075 6026,2018-12-01,COCO_78,0.6470588235294118,11,COCO,78
200,[314234 526399 545984 727418 963615],5, 5461017 7445935,2019-02-01,COCO_78,0.7058823529411765,5,COCO,78
202,[ 294115  349380  535929  545984  556301  715341 1179385],7, 5401047 7445935,2019-02-01,COCO_78,0.7058823529411765,7,COCO,78
203,[113487 241017 268854 535929 548624 984430],6, 5401046 7445935,2019-02-01,COCO_78,0.7058823529411765,6,COCO,78
