,user_ids,support,itemsets,period,property_values,depth,size,DEPARTEMENT
115,[ 112006  296725  448392  552027 1037646],5, 19419902 4190175,2017-11-01,78,0.2727272727272727,5,78
116,[146600 263990 332928 540247 727418],5, 5461018 7445935,2017-11-01,78,0.2727272727272727,5,78
117,[428202 489055 519887 521885 542075],5, 7587895 6033,2017-11-01,78,0.2727272727272727,5,78
118,[158639 195642 200726 519887 542075],5, 7587895 7445935,2017-11-01,78,0.2727272727272727,5,78
119,[ 754685  849812  965330  993844 1037646],5, 6027 13600075 6026,2017-11-01,78,0.2727272727272727,5,78
120,[ 596217  734723  988692  998545 1010502],5, 6026 451,2017-11-01,59,0.2727272727272727,5,59
121,"[ 428202  519469  535929  548624  610249  619437  735292  749414  752568
  754685  761107  849812  964774  965330  975522  993844  994504 1007975
 1014685 1034094 1036452 1037072 1037646 1043402 1054006]",25, 13600075 6026,2017-11-01,78,0.2727272727272727,25,78
123,[179750 254994 425954 600388 872971],5, 4190175 19419902,2017-11-01,59,0.2727272727272727,5,59
124,[ 610037  616225  734723  971440  979705  988692  998545 1040091],8, 13600075 6026,2017-11-01,59,0.2727272727272727,8,59
125,[ 555714  754685  849812  965330  993844  995513 1037646 1045906],8, 6027 6026,2017-11-01,78,0.2727272727272727,8,78
126,[416219 455008 471775 535929 783477 971894],6, 5401047 6033,2018-02-01,78,0.36363636363636365,6,78
127,[263990 283502 847660 953725 963615],5, 7770415 7445935,2018-02-01,78,0.36363636363636365,5,78
128,[263990 343037 349811 518902 963615],5, 5461018 7445935,2018-02-01,78,0.36363636363636365,5,78
129,[455008 471775 536334 552972 971894],5, 5461035 6033,2018-02-01,78,0.36363636363636365,5,78
130,[ 519885  536334  578639  622027  979497 1008376],6, 6027 6026,2018-02-01,78,0.36363636363636365,6,78
131,[158639 258405 619437 687512 783477 842240],6, 7587895 7445935,2018-02-01,78,0.36363636363636365,6,78
133,[ 263990  943432  984430 1014685 1036452],5, 4190175 19419902,2018-02-01,78,0.36363636363636365,5,78
134,[283502 349811 505859 543699 963615],5, 5461017 7445935,2018-02-01,78,0.36363636363636365,5,78
135,[407802 416219 471775 783477 916245],5, 5401047 7445935,2018-02-01,78,0.36363636363636365,5,78
136,[471775 552972 619437 953725 963615],5, 7445935 6026,2018-02-01,78,0.36363636363636365,5,78
137,[ 114621  416219  476814  591704  963615 1030880],6, 7892095 7445935,2018-02-01,78,0.36363636363636365,6,78
138,[114621 263913 334634 518902 552972 591704 619437],7, 5401046 7445935,2018-02-01,78,0.36363636363636365,7,78
139,"[ 416219  471775  518902  538735  552972  783477  842240  911614  953725
  963615 1001550]",11, 6033 7445935,2018-02-01,78,0.36363636363636365,11,78
140,[471775 536334 552972 953725 963615 971894],6, 6033 6026,2018-02-01,78,0.36363636363636365,6,78
141,"[ 428202  468837  471775  519469  519885  528700  578639  619437  735292
  749414  752568  964774 1007975 1014685 1015043 1034094 1036452 1037646
 1043402 1045705 1047955 1048011 1052503 1054006 1060608]",25, 13600075 6026,2018-02-01,78,0.36363636363636365,25,78
143,[140050 275596 313650 490112 600388 864494 885828 903640 957469],9, 4190175 19419902,2018-02-01,59,0.36363636363636365,9,59
144,[110899 425954 464331 903640 957469],5, 19419902 451,2018-02-01,59,0.36363636363636365,5,59
145,"[ 526400  610037  616565  749038  910665  913872  971440  979705  988692
  998545 1058591]",11, 13600075 6026,2018-02-01,59,0.36363636363636365,11,59
147,[ 100743  103371  164593  225166  314234  521883  525815  919731 1121384],9, 7587895 7445935,2018-05-01,78,0.45454545454545453,9,78
148,[348255 468837 471775 842240 963615],5, 7719715 6033,2018-05-01,78,0.45454545454545453,5,78
149,[113487 269244 348255 842240 963615],5, 7719715 7445935,2018-05-01,78,0.45454545454545453,5,78
150,[400722 416219 521883 563837 963615],5, 7892095 6033,2018-05-01,78,0.45454545454545453,5,78
151,[ 455008  584447  949836 1037646 1099219],5, 4190175 6026,2018-05-01,78,0.45454545454545453,5,78
152,[ 555714  798831  980801 1048011 1060608],5, 18064205 13600075,2018-05-01,78,0.45454545454545453,5,78
153,[ 416219  563837  797671  849812 1106911],5, 7892095 5401047,2018-05-01,78,0.45454545454545453,5,78
154,[ 468837  490024  505859  578639  584447  588730  911614 1001550],8, 8287519 6033,2018-05-01,78,0.45454545454545453,8,78
155,[ 117755  584447  745257  949836  980801 1037646],6, 4190175 19419902,2018-05-01,78,0.45454545454545453,6,78
156,[ 505859  578639  588730  911614 1001550],5, 8287519 5401047 6033,2018-05-01,78,0.45454545454545453,5,78
157,[ 584447  745257  842314  949836  980801 1105395],6, 3461030 19419902,2018-05-01,78,0.45454545454545453,6,78
158,[ 555714  849812 1014685 1048011 1060608],5, 6157591 13600075 6026,2018-05-01,78,0.45454545454545453,5,78
159,[455008 578639 584447 842314 949836 971894],6, 3461030 6026,2018-05-01,78,0.45454545454545453,6,78
160,[455008 578639 584447 842314 949836],5, 3461030 6033 6026,2018-05-01,78,0.45454545454545453,5,78
161,[363690 455008 584447 745257 949836 980801],6, 3461030 4190175,2018-05-01,78,0.45454545454545453,6,78
162,[113487 348255 464787 911614 963615 971686],6, 5450141 7445935,2018-05-01,78,0.45454545454545453,6,78
163,[ 348255  911614  963615  971686 1097861],5, 5450141 6033,2018-05-01,78,0.45454545454545453,5,78
164,[112633 269244 283502 464787 911614 963615],6, 7770415 7445935,2018-05-01,78,0.45454545454545453,6,78
165,[ 416219  468837  471775  505859  911614 1001550],6, 5461035 6033,2018-05-01,78,0.45454545454545453,6,78
166,[ 348255  416219  553832 1087572 1099331],5, 5462024 6033,2018-05-01,78,0.45454545454545453,5,78
167,[263913 364658 521931 849812 958732],5, 5401046 5401047,2018-05-01,78,0.45454545454545453,5,78
168,[ 555714  761107  849812 1014685 1048011 1060608],6, 6157591 6026,2018-05-01,78,0.45454545454545453,6,78
170,"[ 416219  418129  455008  468837  471775  505859  532337  553832  578639
  584447  719763  842240  842314  949836  963615  971686  993844 1097861]",18, 6033 6026,2018-05-01,78,0.45454545454545453,18,78
171,[400722 505859 578639 584447 719763],5, 6027 6033,2018-05-01,78,0.45454545454545453,5,78
172,"[103371 207287 241017 263913 348255 521883 521931 531392 553832 863993
 958732]",11, 5401046 7445935,2018-05-01,78,0.45454545454545453,11,78
173,[ 616225  616565  734723  998545 1058591 1089409],6, 6026 451,2018-05-01,59,0.45454545454545453,6,59
174,"[ 105293  110899  114666  118478  147589  149963  167694  187833  199984
  235297  235462  251568  270220  314647  368080  403445  425954  427096
  427250  432305  451363  459933  464331  573259  588437  602580  604098
  607784  612824  616689  739860  751640  903640  957469 1052581 1095891
 1106546]",37, 12520268 451,2018-05-01,59,0.45454545454545453,37,59
175,"[ 526400  567971  734723  860435  913872  979705  979729  988692  998545
 1040091 1058591 1099716 1101120 1152434]",14, 13600075 6026,2018-05-01,59,0.45454545454545453,14,59
176,[ 123777  199673  425954  445678  472871  903640 1071032],7, 4190175 19419902,2018-05-01,59,0.45454545454545453,7,59
177,[123777 144164 381294 598957 881061 914623],6, 3461030 19419902,2018-05-01,59,0.45454545454545453,6,59
178,[416219 505859 521931 532337 553832 842240 842314 963615 971686],9, 7445935 6026,2018-05-01,78,0.45454545454545453,9,78
179,[ 416219  468837  471775  578639  584447  993844 1097861],7, 6033 13600075 6026,2018-05-01,78,0.45454545454545453,7,78
180,"[281283 348255 416219 469829 505859 519887 521883 531392 532337 542073
 553832 563837 842240 842314 911614 916838 963615 971686]",18, 6033 7445935,2018-05-01,78,0.45454545454545453,18,78
181,[416219 505859 532337 553832 842240 842314 963615 971686],8, 6033 7445935 6026,2018-05-01,78,0.45454545454545453,8,78
182,"[ 363692  416219  468837  471775  519885  535929  536334  555714  578639
  584447  619437  752568  754776  849812  957240  989025  993844 1007975
 1008376 1014685 1036452 1037646 1045705 1047955 1048011 1060608 1082751
 1097861]",28, 13600075 6026,2018-05-01,78,0.45454545454545453,28,78
183,[ 416219  578639  619437  849812 1097861],5, 5401047 13600075 6026,2018-05-01,78,0.45454545454545453,5,78
184,"[225166 263913 281283 314234 416219 505859 519887 521931 563837 842314
 911614 916838 958732]",13, 5401047 7445935,2018-05-01,78,0.45454545454545453,13,78
185,"[ 281283  416219  505859  519887  563837  578639  588730  842314  911614
  916838 1001550 1097861 1099331]",13, 5401047 6033,2018-05-01,78,0.45454545454545453,13,78
186,[ 416219  505859  578639  842314 1097861],5, 5401047 6033 6026,2018-05-01,78,0.45454545454545453,5,78
187,[281283 416219 505859 519887 563837 842314 911614 916838],8, 5401047 6033 7445935,2018-05-01,78,0.45454545454545453,8,78
188,[ 548624  584447  761107  842314  949836 1037646],6, 19419902 6026,2018-05-01,78,0.45454545454545453,6,78
189,[ 540247  584447  847693  980801 1037646],5, 19419902 13600075,2018-05-01,78,0.45454545454545453,5,78
190,"[ 505859  519885  536334  555714  565366  578639  584447  610249  719763
  754685  971894  972937 1014685 1047955 1048011]",15, 6027 6026,2018-05-01,78,0.45454545454545453,15,78
191,[ 416219  505859  521931  578639  619437  842314  849812 1097861],8, 5401047 6026,2018-05-01,78,0.45454545454545453,8,78
192,[ 519885  536334  555714  578639  584447 1014685 1047955 1048011],8, 6027 13600075 6026,2018-05-01,78,0.45454545454545453,8,78
193,[416219 468837 520708 584447 824398 911614 972937],7, 6027 6033,2018-08-01,78,0.5454545454545454,7,78
194,[ 416219  468837  584447  754357  824398  993844 1034094 1037646],8, 6027 6026,2018-08-01,78,0.5454545454545454,8,78
196,[ 107493  263913  519885  552972  567649  984430 1043581],7, 7892095 5401046,2018-08-01,78,0.5454545454545454,7,78
197,"[ 107493  263913  397717  490024  550646  719763  966582  979497 1048518
 1097861]",10, 5401046 5401047,2018-08-01,78,0.5454545454545454,10,78
198,[ 400722  508618  519885  552972  849812  911665  963615 1180032 1181464],9, 7892095 6033,2018-08-01,78,0.5454545454545454,9,78
199,[263913 490024 550646 719763 966582],5, 5401046 5401047 7445935,2018-08-01,78,0.5454545454545454,5,78
200,[264552 505859 540247 543699 963615],5, 7719715 7445935,2018-08-01,78,0.5454545454545454,5,78
201,[ 490024  519885  552972  584447  719763 1097861],6, 5401046 6033,2018-08-01,78,0.5454545454545454,6,78
202,[107493 165690 263913 400722 508618 844499 886899],7, 7892095 5401047,2018-08-01,78,0.5454545454545454,7,78
203,[ 264552  505859  543699  963615 1072004],5, 7719715 5461017,2018-08-01,78,0.5454545454545454,5,78
204,[113425 145422 250022 263990 278763 382431 585878 737348],8, 583279 1073439,2018-08-01,78,0.5454545454545454,8,78
205,[505859 540247 584447 819872 963615],5, 5450142 7719715,2018-08-01,78,0.5454545454545454,5,78
206,[113487 263990 320316 465158 830201],5, 3461039 2850269,2018-08-01,78,0.5454545454545454,5,78
207,[249715 263990 540247 715341 963615],5, 5461018 7445935,2018-08-01,78,0.5454545454545454,5,78
208,[ 455008  490024  550646  619437  911614 1048518],6, 8287519 5401047,2018-08-01,78,0.5454545454545454,6,78
209,[ 490024  550646  584447  984430 1048518],5, 8287519 5401046,2018-08-01,78,0.5454545454545454,5,78
210,[584447 911614 971894 992218 993844],5, 3461030 6027,2018-08-01,78,0.5454545454545454,5,78
212,[ 399107  508618  584447  911665 1097861],5, 8125295 6033,2018-08-01,78,0.5454545454545454,5,78
213,[ 248633  263913  447204  490024  550646  719763  919731  966582 1041531],9, 5401046 7445935,2018-08-01,78,0.5454545454545454,9,78
215,[ 505859  584447  862846  963615  972937 1097861],6, 5450142 6033,2018-08-01,78,0.5454545454545454,6,78
216,[ 519885  584447  719763  979497 1097861],5, 5401046 6026,2018-08-01,78,0.5454545454545454,5,78
218,[ 614220  993844 1015043 1082751 1153425],5, 19419902 4190175 6026,2018-08-01,78,0.5454545454545454,5,78
219,[226621 263990 264552 468837 505859 543699 963615],7, 5461017 7445935,2018-08-01,78,0.5454545454545454,7,78
220,"[ 108938  114666  118478  127790  130532  133892  149963  162567  167694
  187833  199984  235297  235462  244827  270220  275782  288842  292347
  314647  351686  368080  370988  375021  389285  403445  423574  425954
  427096  427250  432305  438350  445481  449488  451363  464331  483533
  521982  523545  528367  573259  602580  604098  607784  612824  616689
  681522  739860  751640  758478  777319  903640  915181  957469  999796
 1042827 1061637 1095891 1103098 1106966 1163691 1167207 1167617 1168767
 1171591 1178295 1180356 1198352]",67, 12520268 451,2018-08-01,59,0.5454545454545454,67,59
221,[ 734723 1040091 1056623 1058591 1099079 1152434],6, 6026 451,2018-08-01,59,0.5454545454545454,6,59
222,"[ 734723  749038  860435  891917  979705  998545 1058591 1152434 1155422
 1162193 1179263]",11, 13600075 6026,2018-08-01,59,0.5454545454545454,11,59
223,[ 123777  539737  600388  798930  885828 1071032 1150527],7, 4190175 19419902,2018-08-01,59,0.5454545454545454,7,59
224,[104790 309153 363093 523273 998545],5, 18064205 3450014,2018-08-01,59,0.5454545454545454,5,59
225,[ 331511  475865  734723  791569 1152434],5, 3450013 3450011,2018-08-01,59,0.5454545454545454,5,59
226,[ 734723  901480 1152434 1155422 1173969],5, 6033 6026,2018-08-01,59,0.5454545454545454,5,59
227,[294115 363692 468837 471775 719763 737878 754357 824398 963615],9, 7445935 6026,2018-08-01,78,0.5454545454545454,9,78
228,"[ 471775  519469  519885  526399  614220  619437  719763  752568  754776
  754789  849812  979497  995513 1007975 1015043 1037646 1047955 1048011
 1082751 1113856 1153425 1174591]",22, 13600075 6026,2018-08-01,78,0.5454545454545454,22,78
229,"[ 294115  416219  428202  468837  471775  519885  584447  719763  737878
  772088  824398  849812  963615 1075356 1097861]",15, 6033 6026,2018-08-01,78,0.5454545454545454,15,78
230,[ 460228  505823  552846 1166148 1205586 1214239],6, 12520268 451,2018-08-01,62,0.5454545454545454,6,62
231,[294115 468837 471775 719763 737878 824398 963615],7, 6033 7445935 6026,2018-08-01,78,0.5454545454545454,7,78
232,[ 614220  893157  992218  993844 1015043 1082751 1153425 1172145],8, 19419902 4190175,2018-08-01,78,0.5454545454545454,8,78
233,"[294115 399107 468837 471775 490024 505859 518902 519887 520708 521894
 545984 563837 715341 719763 737878 824398 963615]",17, 6033 7445935,2018-08-01,78,0.5454545454545454,17,78
